Country,Region
Argentina,South America
Barbados,Caribbean
Bolivia,South America
Brazil,South America
Canada,North America
Chile,South America
Colombia,South America
Costa Rica,Central America
Ecuador,South America
El Salvador,Central America
Guatemala,Central America
Guyana,South America
Haiti,Caribbean
Honduras,Central America
Jamaica,Caribbean
Mexico,Central America
Nicaragua,Central America
Panama,Central America
Paraguay,South America
Peru,South America
United States,North America
Uruguay,South America
Venezuela,South America